CustNum,Name,Sex,Age,State,Income,Clicks,LastSpend,Purchases,Spend
111,Jeremy Booker,male,59,VIC,90000,371,$2300.57,13,$1535.55
112,Zachary Mitchell,male,23,NSW,100000,368,$2701.12,15,$1662.40
113,Mr. Tyler Booth,male,33,WA,80000,930,$5115.00,11,$1342.90
114,Justin Arnold,male,18,QLD,90000,454,$2130.85,10,$1735.65
115,Amy Johnson,female,21,NSW,30000,406,$784.39,4,$987.00
116,Robert Warner,male,28,QLD,120000,556,$4677.07,17,$1654.90
117,Stephen Dyer,male,46,VIC,20000,956,$518.15,2,$406.80
118,Marisa Evans,female,32,QLD,100000,824,$4581.44,12,$2731.10
119,Benjamin Compton,male,20,NSW,50000,98,$238.14,5,$935.85
120,Kathleen Holt,female,67,NSW,60000,429,$1908.62,9,$1736.60
121,Kayla Brewer,female,66,VIC,40000,510,$1229.10,5,$1392.30
122,Mr. William Fernandez,male,22,QLD,80000,85,$487.56,12,$1557.40
123,Lauren Hughes,female,31,SA,80000,770,$2119.04,6,$2925.00
124,Danielle Martinez,female,71,QLD,20000,282,$291.87,3,$633.50
125,Lisa Price,female,62,VIC,90000,172,$989.95,12,$2447.20
126,Mark Jackson,male,47,NSW,90000,178,$587.13,7,$1315.15
127,Heather Trujillo,female,56,NSW,60000,627,$1967.53,7,$1900.00
128,Mary Price,female,28,WA,70000,168,$375.73,5,$2415.60
129,Danielle Gardner,female,33,NSW,80000,981,$3535.52,8,$2100.00
130,Miranda Delgado,female,18,QLD,30000,69,$102.98,3,$1167.00
131,Cody Horton,male,20,QLD,30000,771,$980.71,3,$603.90
132,Brenda Griffin,female,22,VIC,80000,488,$1303.94,6,$2570.00
133,Kristina Johnson,female,29,VIC,160000,241,$2174.78,18,$3978.80
134,Carla Hatfield,female,31,ACT,20000,672,$903.84,3,$808.50
135,Angela Rosales,female,63,QLD,140000,369,$1461.98,8,$4003.30
136,Shane Howard,male,67,NSW,40000,251,$679.21,6,$648.90
137,Anne Hampton,female,45,QLD,100000,363,$1981.98,11,$3010.10
138,Jeffrey Turner,male,36,VIC,140000,750,$6478.50,18,$2576.20
139,Nancy Carlson,female,21,VIC,60000,942,$2647.96,6,$1955.10
140,Rebecca Dickson,female,41,VIC,90000,677,$2376.27,7,$2618.00
141,Sierra Jenkins,female,73,NSW,30000,464,$612.48,3,$955.00
142,Ashley Mitchell,female,56,VIC,140000,511,$2407.32,10,$5108.40
143,Shannon Brown,female,60,WA,70000,970,$5085.71,11,$1804.00
144,Neil Fields,male,70,NSW,90000,908,$2124.72,5,$1682.00
145,Sonia Lawrence,female,23,NSW,140000,352,$2636.48,15,$4381.70
146,Kimberly Brady,female,65,NSW,60000,407,$1695.97,9,$1953.20
147,Timothy Conner,male,33,NSW,90000,314,$1538.76,10,$1593.55
148,Paul Campbell,male,71,VIC,70000,415,$997.87,5,$1374.25
149,Michael Martin,male,60,TAS,30000,904,$714.61,2,$656.70
150,Leslie Moreno,female,22,SA,60000,504,$1599.70,7,$2137.50
151,Jeff Mccormick,male,19,NSW,40000,809,$2423.76,6,$753.90
152,David Orr,male,68,QLD,120000,853,$5327.84,13,$1628.30
153,Robert Mitchell,male,65,WA,20000,716,$760.39,3,$446.80
154,Donald Rush,male,26,NSW,90000,708,$3679.83,11,$1287.60
155,Mary Higgins,female,41,QLD,140000,47,$377.69,16,$4188.20
156,Nicholas Robinson,male,41,VIC,120000,144,$958.18,14,$1915.20
157,Katelyn Williams,female,45,NSW,120000,407,$3245.42,16,$3093.20
158,Charles Hopkins II,male,41,WA,120000,447,$2228.74,10,$1548.50
159,Christina Dickerson,female,34,QLD,140000,679,$4192.15,13,$3968.90
160,Mrs. Laura Murphy,female,33,VIC,120000,143,$516.52,8,$3015.50
161,Brenda Johnson,female,70,VIC,140000,666,$3976.69,12,$3779.70
162,Joel Bailey,male,38,QLD,90000,800,$2826.00,8,$1249.90
163,William Robinson,male,48,NSW,90000,63,$230.49,8,$1571.80
164,David Bray,male,33,VIC,60000,47,$154.82,7,$1061.00
165,Nancy Rodriguez,female,36,NSW,100000,391,$2154.41,11,$3713.80
166,Mark Irwin,male,29,QLD,100000,805,$3618.47,9,$1721.60
167,Kimberly Wagner,female,23,QLD,40000,431,$720.63,4,$1132.30
168,Madeline Davis,female,54,VIC,100000,461,$1966.16,9,$3270.50
169,Christina Mitchell,female,70,NSW,60000,140,$268.38,4,$2150.80
170,Alicia Houston,female,60,QLD,50000,257,$599.45,5,$1617.60
171,Heather Romero,female,32,NSW,100000,438,$1204.50,6,$3568.10
172,Joseph Davis,male,17,ACT,140000,809,$3680.95,10,$2519.00
173,James Taylor,male,69,VIC,30000,229,$346.59,4,$474.10
174,Kenneth Rojas,male,66,NSW,40000,142,$369.77,6,$739.90
175,George Gonzalez,male,18,QLD,30000,657,$1431.93,5,$465.85
176,Jeffrey Barnes,male,33,NSW,120000,165,$789.03,10,$1822.10
177,Susan Maxwell,female,55,NSW,70000,589,$1564.68,6,$2279.20
178,Jeffery Brown,male,37,QLD,60000,269,$524.55,4,$1130.00
179,Michelle Williams,female,53,NSW,20000,272,$231.74,2,$734.30
180,Jacqueline Hardin,female,22,VIC,20000,984,$1393.34,3,$828.80
181,Jeffrey Higgins,male,71,WA,120000,796,$5368.22,14,$2173.60
182,Mrs. Sharon Hill DDS,female,48,NSW,50000,817,$1719.78,5,$1635.20
183,Shannon Little,female,42,VIC,90000,48,$122.04,5,$3236.80
184,Michelle Baker,female,73,QLD,60000,471,$1766.25,8,$2219.20
185,Marissa Santos,female,59,WA,30000,974,$952.57,2,$982.00
186,Ana Smith,female,49,NSW,100000,827,$2253.57,6,$2675.30
187,Daniel Ayers,male,36,NSW,140000,60,$416.22,14,$1865.60
188,Donna Marsh,female,67,NSW,60000,467,$1990.82,9,$2200.20
189,Melissa Freeman,female,70,QLD,20000,969,$1133.73,3,$725.90
190,Kenneth Lucas,male,28,NSW,140000,657,$2699.61,9,$1929.40
191,John Mills,male,34,NSW,80000,304,$1315.71,9,$1418.30
192,Todd Lee,male,73,NSW,160000,597,$3419.62,12,$2347.50
193,Troy Hernandez,male,33,VIC,50000,291,$789.34,6,$1019.15
194,Tara Velasquez,female,55,VIC,120000,19,$65.44,7,$4184.70
195,Roberta Lawson,female,38,SA,40000,879,$2215.08,6,$1394.90
196,Nicole Miller,female,69,NSW,70000,585,$2706.80,10,$2109.80
197,Daniel Sanchez,male,45,SA,70000,797,$2544.02,7,$1051.10
198,Lauren Arias,female,73,SA,120000,108,$405.00,8,$4277.20
199,Joseph Palmer,male,26,VIC,60000,516,$1783.30,7,$951.00
200,Cheryl Brooks,female,68,WA,30000,834,$1860.24,5,$1154.00
201,Anthony Wallace,male,16,ACT,20000,207,$227.91,3,$398.80
202,Angela Huber,female,63,QLD,30000,901,$1663.70,4,$958.00
203,Kelsey Fernandez MD,female,65,NSW,40000,377,$557.96,3,$1258.40
204,Denise Hall,female,58,VIC,80000,245,$592.90,5,$2280.00
205,Patricia Hawkins,female,45,NSW,120000,794,$3825.49,10,$4033.00
206,Emily Ingram,female,21,VIC,80000,887,$2749.70,7,$2552.50
207,Benjamin Cooley,male,47,QLD,160000,850,$7126.40,17,$2577.50
208,Susan Mckenzie,female,37,NSW,70000,924,$2687.45,6,$1920.60
209,Christina Vazquez,female,19,QLD,20000,391,$464.90,3,$689.50
210,Manuel Fletcher DDS,male,36,VIC,40000,250,$457.00,4,$741.30
211,Heather Stout,female,62,SA,80000,865,$4003.22,10,$2695.00
212,Ann Gonzalez,female,59,QLD,40000,873,$2442.65,6,$1072.50
213,Angel Kim,male,60,VIC,40000,251,$574.79,5,$592.20
214,Kelsey Perez,female,50,QLD,120000,652,$5832.79,18,$4210.60
215,Erik Tucker,male,29,ACT,140000,556,$4510.83,17,$2151.60
216,Tiffany May,female,18,NSW,30000,376,$408.90,3,$1132.00
217,Ricky Peterson,male,49,NSW,100000,342,$1732.23,11,$1382.40
218,Joseph Beasley,male,53,NSW,70000,755,$3554.16,10,$932.65
219,Richard Nelson,male,67,VIC,60000,603,$2145.47,8,$1041.00
220,Leslie Wilson,female,64,SA,140000,892,$4676.76,11,$4351.60
221,William Garcia,male,29,NSW,20000,444,$319.68,2,$453.20
222,Damon Massey,male,20,NSW,30000,392,$536.84,3,$560.45
223,Jason Spencer,male,63,WA,90000,135,$393.66,6,$1315.15
224,Brandon Johnson,male,18,QLD,20000,958,$1254.02,3,$351.20
225,Travis Brown,male,59,WA,60000,213,$733.57,7,$1146.00
226,Anna Walker,female,58,VIC,20000,964,$1140.41,3,$838.60
227,Terri Wheeler,female,26,NSW,120000,403,$2771.03,14,$4103.30
228,Tamara Baxter,female,73,VIC,50000,906,$1372.59,4,$1819.20
229,Gary Santos,male,16,QLD,40000,607,$763.61,3,$737.10
230,James Allen,male,39,NSW,70000,454,$1260.08,6,$1334.00
231,Dana White,female,38,WA,100000,418,$2645.94,13,$3437.90
232,Jennifer Ward,female,48,NSW,60000,403,$1502.79,8,$1797.40
233,Carol Stephens,female,65,NSW,120000,228,$1807.13,16,$3093.20
234,Jocelyn Young,female,56,QLD,90000,457,$2796.84,13,$3018.40
235,Ashley Alvarado,female,70,VIC,120000,409,$3472.41,17,$3918.30
236,Meagan Hernandez,female,22,VIC,60000,268,$1084.60,9,$1694.80
237,Matthew Little,male,50,VIC,60000,605,$1729.69,6,$1068.00
238,Jonathan Jones,male,64,VIC,90000,324,$959.36,6,$1245.55
239,Jennifer Owens,female,31,VIC,30000,428,$837.81,4,$1103.00
240,Nicolas Hayes,male,19,NSW,50000,495,$1821.60,8,$702.95
241,Steve Hernandez,male,65,QLD,100000,961,$5439.26,12,$1425.60
242,Jennifer Eaton,female,44,TAS,90000,572,$2468.47,9,$3152.80
243,Morgan Dickerson,female,60,NSW,40000,962,$2322.27,5,$1459.90
244,Rita Mays,female,39,NSW,80000,918,$5298.70,12,$2540.00
245,Amanda Barnes,female,67,NSW,60000,182,$298.66,4,$1892.40
246,Zachary Lee,male,57,VIC,70000,382,$842.31,5,$1368.50
247,Justin Gallegos,male,30,VIC,160000,839,$5591.10,14,$2582.50
248,Theresa Mayo,female,31,QLD,120000,991,$6070.87,13,$3799.90
249,Richard Wheeler,male,53,VIC,60000,904,$3691.03,9,$890.00
250,Trevor Murray,male,54,NSW,70000,79,$371.06,10,$1250.05
251,Michael Mccann,male,27,NSW,60000,464,$1286.21,6,$905.00
252,Michelle Gonzalez,female,72,SA,20000,918,$961.15,3,$711.90
253,Rachel Barton,female,44,VIC,90000,96,$246.24,6,$2805.60
254,Michael Reeves,male,44,NSW,60000,25,$74.40,6,$819.00
255,Heather Holloway,female,23,QLD,30000,722,$1391.65,4,$1078.00
256,Joshua Murphy,male,38,VIC,80000,593,$3218.80,11,$1413.10
257,James Ramos,male,58,NSW,30000,958,$1139.54,3,$581.35
258,Gloria Thompson,female,46,VIC,60000,963,$1921.19,4,$1881.00
259,Robin Miller,female,62,WA,140000,308,$1420.80,10,$4751.50
260,Ann Campbell,female,58,VIC,100000,252,$1266.30,10,$3444.10
261,Darrell Shea,male,55,NSW,140000,586,$2522.73,9,$2446.40
262,James Patel,male,22,ACT,60000,264,$685.08,6,$943.00
263,George Gibson,male,41,QLD,60000,681,$1885.69,6,$1132.00
264,Jessica Hansen,female,66,SA,120000,482,$3779.84,16,$4114.40
265,Craig Harris,male,29,NSW,100000,25,$108.88,9,$1748.80
266,Dennis Jacobs,male,58,SA,60000,794,$2493.95,7,$989.00
267,Brian Hall,male,46,NSW,40000,31,$72.04,5,$704.20
268,Jeffrey Davis,male,33,NSW,50000,751,$2622.87,7,$764.15
269,Anna Henderson,female,42,NSW,50000,606,$1604.38,6,$1804.80
270,Russell Perkins,male,57,NSW,80000,358,$1705.51,10,$1453.40
271,Rodney Shah,male,72,NSW,100000,971,$3248.00,7,$1704.00
272,Monica Richards,female,70,NSW,70000,452,$915.98,5,$2063.60
273,Jennifer Jones,female,61,NSW,100000,280,$828.80,6,$3639.40
274,Julie Taylor DVM,female,53,NSW,30000,866,$1665.32,4,$867.00
275,Richard Ho,male,51,NSW,30000,707,$1458.19,5,$460.35
276,Samantha Becker,female,71,NSW,100000,747,$4362.48,12,$2848.90
277,Dakota Tucker,male,28,SA,120000,797,$6847.82,18,$1613.10
278,Erin Kelley,female,71,NSW,120000,775,$2999.25,8,$3640.80
279,Sonya Turner,female,67,QLD,90000,373,$2161.91,12,$2914.80
280,Jacob Bell,male,50,ACT,120000,652,$3149.16,10,$1618.80
281,Laura Lopez PhD,female,21,TAS,70000,256,$498.18,4,$2098.80
282,Mary Shelton,female,28,NSW,140000,505,$4425.82,18,$4824.60
283,Julie Davila,female,30,VIC,90000,945,$4664.99,10,$2937.20
284,Ashley Scott,female,65,NSW,20000,98,$91.04,2,$676.20
285,Jeffrey Best,male,70,VIC,160000,656,$3631.62,12,$2705.00
286,Andrew Rose,male,62,VIC,40000,348,$546.36,4,$647.50
287,Richard Wright,male,56,NSW,20000,898,$931.23,3,$358.80
288,Heather Haynes,female,44,VIC,140000,317,$2922.42,19,$3930.20
289,Anthony Hernandez,male,37,VIC,50000,691,$1437.28,5,$933.30
290,James White,male,24,NSW,160000,87,$675.12,16,$2692.50
291,David Jones,male,66,WA,160000,23,$150.88,13,$2365.00
292,Mr. Bradley Andrews,male,40,NSW,20000,147,$128.92,2,$474.00
293,Miguel West,male,23,VIC,50000,494,$1663.55,7,$747.15
294,Ricky Robbins,male,59,NSW,50000,640,$1881.60,6,$819.40
295,Justin Boyle,male,41,VIC,60000,8,$16.22,4,$826.00
296,Janet Stout,female,59,NSW,160000,500,$2472.00,10,$4076.80
297,Jennifer Lawrence,female,18,VIC,90000,521,$2360.91,10,$3318.00
298,Todd Rodriguez,male,18,SA,30000,54,$51.92,2,$589.60
299,Robert Hatfield,male,30,TAS,40000,886,$1671.00,4,$826.00
300,Jonathan Dean,male,24,QLD,40000,582,$1726.21,6,$815.50
301,Kelly Mills,female,16,QLD,50000,585,$1206.56,5,$1321.60
302,Eric Mcdonald,male,38,NSW,90000,665,$3094.24,10,$1666.05
303,James Nichols,male,25,SA,90000,783,$3213.43,9,$1426.80
304,Kathleen Kidd,female,20,NT,160000,404,$4760.74,24,$4258.10
305,Nathan Johnson,male,25,QLD,140000,982,$7238.32,15,$2468.40
306,Samuel Lopez,male,56,NSW,90000,654,$4096.66,13,$1592.10
307,Tracy Peterson,female,34,NSW,60000,76,$269.04,7,$2280.00
308,Aaron Lewis,male,50,VIC,140000,530,$5275.62,20,$1977.80
309,Carrie Vaughan,female,68,TAS,140000,878,$8204.91,19,$5022.40
310,Joshua Johnson,male,42,VIC,160000,941,$6903.18,15,$2372.50
311,Edward Morales,male,46,NSW,160000,284,$1719.90,13,$2547.50
312,Janice Blanchard,female,37,QLD,50000,251,$395.32,4,$1489.60
313,Dr. Marilyn Lucas,female,27,SA,80000,986,$2177.09,5,$2170.00
314,Manuel Walker,male,58,NSW,70000,935,$4561.87,10,$937.25
315,Kevin Cox,male,60,VIC,20000,696,$985.54,3,$459.60
316,Debra Crane,female,45,VIC,40000,803,$2023.56,6,$1496.30
317,Alex Morales,male,39,NSW,60000,363,$1475.60,9,$935.00
318,Robert Kelly,male,43,NSW,50000,175,$546.00,7,$986.85
319,Robert Smith,male,19,VIC,20000,814,$850.63,3,$406.00
320,Luke Vang,male,56,NSW,40000,176,$335.46,4,$613.20
321,Steven Medina,male,65,NSW,120000,706,$4566.41,13,$2017.80
322,Veronica Howard,female,65,VIC,40000,763,$1863.25,5,$1049.10
323,Jacob Gonzalez,male,34,SA,40000,540,$1177.20,5,$781.20
324,Christopher Cole,male,51,NSW,160000,256,$2189.31,17,$2002.50
325,Joseph Baker,male,47,QLD,20000,857,$808.15,2,$326.00
326,Cheryl Barnes,female,28,NSW,70000,129,$571.15,9,$2290.20
327,Tanya Schwartz,female,27,QLD,60000,899,$1432.11,4,$2164.10
328,Anthony Lee,male,70,QLD,50000,996,$3134.91,7,$736.10
329,Juan Richardson,male,72,WA,80000,982,$2376.44,5,$1433.90
330,Brandon Davis,male,53,NSW,60000,2,$4.96,3,$1160.00
331,Terry Miller,female,68,SA,90000,85,$207.70,5,$2833.60
332,James Moore,male,16,NSW,90000,642,$1658.29,6,$1245.55
333,Justin Hernandez,male,25,NSW,40000,261,$623.27,5,$564.90
334,Craig Bryant,male,73,VIC,40000,464,$1273.22,6,$616.00
335,Bryan Moreno,male,27,WA,120000,545,$2256.30,9,$1753.70
336,Gary Ibarra,male,63,SA,80000,333,$1478.52,9,$1375.40
337,James Nguyen,male,38,VIC,90000,898,$5806.92,13,$1492.05
338,Madison Dunn,female,27,NSW,160000,125,$542.00,9,$5458.60
339,James Fernandez,male,34,QLD,90000,488,$3278.63,14,$1464.50
340,Joshua Smith,male,36,NSW,30000,92,$83.63,2,$526.90
341,Ashley Hernandez,female,61,VIC,140000,909,$3315.12,8,$4287.10
342,Caitlyn Flores,female,28,QLD,60000,60,$143.46,5,$2245.80
343,Hannah Dunn,female,63,WA,80000,50,$198.60,8,$2997.50
344,Anna Ware,female,37,VIC,90000,773,$4031.58,11,$2433.20
345,Charlene Palmer,female,54,VIC,50000,266,$632.41,5,$1656.00
346,Christina Murphy MD,female,23,SA,90000,969,$3017.47,7,$2576.00
347,Emily Norton,female,38,NSW,20000,762,$1004.32,3,$759.50
348,Anthony Oliver,male,60,NSW,90000,352,$1612.51,10,$1689.25
349,Meghan Diaz,female,27,QLD,100000,200,$565.00,6,$3010.10
350,Caitlin Torres,female,52,NSW,80000,82,$470.68,12,$2515.00
351,Rachel Riley,female,36,NSW,140000,376,$3795.34,21,$4751.50
352,Andrew Bruce,male,41,NSW,40000,456,$821.71,4,$802.90
353,William Ford,male,31,NSW,70000,776,$2102.18,6,$920.00
354,Sarah Rogers,female,28,NSW,160000,884,$8811.71,20,$4385.50
355,Gregory Smith MD,male,69,QLD,90000,908,$5364.92,12,$1238.30
356,Tiffany Mcdaniel,female,59,QLD,40000,506,$701.32,3,$1319.50
357,Ashley Ray,female,59,NSW,50000,386,$933.15,5,$1499.20
358,Jamie Taylor,female,24,VIC,40000,309,$927.00,6,$1233.70
359,Jennifer Rasmussen,female,19,QLD,140000,949,$4311.31,10,$3659.30
360,Christine Sandoval,female,44,NSW,120000,143,$460.75,7,$4025.60
361,Paul Johnson Jr.,male,68,NSW,160000,712,$8464.26,24,$2740.00
362,Amy Hardin,female,45,QLD,80000,3,$17.99,8,$2687.50
363,Sharon Castro,female,59,NSW,20000,186,$270.44,3,$809.20
364,Thomas Golden,male,39,VIC,120000,119,$687.58,12,$2091.90
365,Heather Mclaughlin,female,48,QLD,100000,970,$6217.70,13,$2687.70
366,Hannah Gomez,female,38,VIC,50000,417,$1549.15,8,$1795.20
367,Briana Cain,female,17,NSW,140000,581,$2322.26,8,$3779.70
368,Lindsay Perez,female,17,TAS,50000,840,$2261.70,6,$1336.00
369,Monica Kennedy,female,30,SA,60000,58,$134.33,5,$2069.10
370,Jason Hall,male,68,VIC,40000,536,$843.66,4,$813.40
371,Jason Nguyen,male,17,NSW,70000,923,$4496.86,10,$1263.85
372,Katherine Reynolds,female,28,NSW,70000,266,$703.84,6,$2558.60
373,Joshua Blake,male,42,SA,90000,75,$445.84,12,$1305.00
374,Christopher Andersen,male,39,QLD,60000,496,$1293.07,6,$875.00
375,Elizabeth Romero,female,18,NSW,30000,784,$921.98,3,$1114.00
376,Heather Banks,female,63,VIC,160000,846,$3675.02,9,$5865.30
377,David Mills,male,71,VIC,90000,661,$3263.03,10,$1410.85
378,Jerry Gonzalez,male,73,NSW,80000,290,$1381.56,10,$1554.80
